longitude_e,latitude_n,raw_elevation_m,reference_plane_m,corrected_residual_m
75.8554688,18.9257812,-546.000,-720.140,174.140
75.8632812,18.9257812,-547.000,-724.614,177.614
75.8710938,18.9257812,-551.000,-729.087,178.087
75.8789062,18.9257812,-553.000,-733.561,180.561
75.8867188,18.9257812,-557.000,-738.035,181.035
75.8945312,18.9257812,-563.000,-742.509,179.509
75.9023438,18.9257812,-573.000,-746.982,173.982
75.9101562,18.9257812,-591.000,-751.456,160.456
75.9179688,18.9257812,-612.000,-755.930,143.930
75.9257812,18.9257812,-632.000,-760.404,128.404
75.9335938,18.9257812,-651.000,-764.877,113.877
75.9414062,18.9257812,-669.000,-769.351,100.351
75.9492188,18.9257812,-683.000,-773.825,90.825
75.9570312,18.9257812,-689.000,-778.299,89.299
75.9648438,18.9257812,-679.000,-782.772,103.772
75.9726562,18.9257812,-701.000,-787.246,86.246
75.9804688,18.9257812,-725.000,-791.720,66.720
75.9882812,18.9257812,-747.000,-796.194,49.194
75.9960938,18.9257812,-767.000,-800.667,33.667
76.0039062,18.9257812,-784.000,-805.141,21.141
76.0117188,18.9257812,-792.000,-809.615,17.615
76.0195312,18.9257812,-798.000,-814.089,16.089
76.0273438,18.9257812,-791.000,-818.562,27.562
76.0351562,18.9257812,-790.000,-823.036,33.036
76.0429688,18.9257812,-800.000,-827.510,27.510
76.0507812,18.9257812,-811.000,-831.984,20.984
76.0585938,18.9257812,-822.000,-836.458,14.458
76.0664062,18.9257812,-835.000,-840.931,5.931
76.0742188,18.9257812,-849.000,-845.405,-3.595
76.0820312,18.9257812,-865.000,-849.879,-15.121
76.0898438,18.9257812,-882.000,-854.353,-27.647
76.0976562,18.9257812,-901.000,-858.826,-42.174
76.1054688,18.9257812,-924.000,-863.300,-60.700
76.1132812,18.9257812,-949.000,-867.774,-81.226
