distance_from_start_km,distance_from_user_rim_km,longitude_e_deg,latitude_n_deg,mola_raw_m,mola_corrected_residual_m,ctx_raw_m,ctx_tilt_corrected_m
6.100000,1.954698,76.063329,18.118714,-1174.581735,-126.660414,nan,nan
6.200000,2.054698,76.063964,18.120290,-1173.808730,-125.931448,nan,nan
6.300000,2.154698,76.064599,18.121866,-1173.226112,-125.392917,nan,nan
6.400000,2.254698,76.065233,18.123441,-1173.069704,-125.280672,nan,nan
6.500000,2.354698,76.065868,18.125017,-1173.011597,-125.266728,nan,nan
6.600000,2.454698,76.066502,18.126592,-1172.921249,-125.220544,nan,nan
6.700000,2.554698,76.067137,18.128168,-1172.237077,-124.580544,nan,nan
6.800000,2.654698,76.067772,18.129744,-1172.215196,-124.602830,nan,nan
6.900000,2.754698,76.068406,18.131319,-1172.746351,-125.178147,nan,nan
7.000000,2.854698,76.069041,18.132895,-1173.375802,-125.851760,nan,nan
7.100000,2.954698,76.069676,18.134471,-1174.103549,-126.623668,nan,nan
7.200000,3.054698,76.070310,18.136046,-1174.929590,-127.493871,nan,nan
7.300000,3.154698,76.070945,18.137622,-1176.931617,-129.540018,nan,nan
7.400000,3.254698,76.071580,18.139197,-1179.937848,-132.590362,nan,nan
7.500000,3.354698,76.072214,18.140773,-1183.173441,-135.870101,nan,nan
7.600000,3.454698,76.072849,18.142349,-1186.638395,-139.379234,nan,nan
7.700000,3.554698,76.073483,18.143924,-1190.332710,-143.117761,nan,nan
7.800000,3.654698,76.074118,18.145500,-1197.090528,-149.919696,nan,nan
7.900000,3.754698,76.074753,18.147076,-1204.610958,-157.484112,nan,nan
8.000000,3.854698,76.075387,18.148651,-1212.853970,-165.771131,nan,nan
8.100000,3.954698,76.076022,18.150227,-1222.145490,-175.106692,nan,nan
8.200000,4.054698,76.076657,18.151802,-1232.485520,-185.490795,nan,nan
8.300000,4.154698,76.077291,18.153378,-1239.872982,-192.922397,nan,nan
8.400000,4.254698,76.077926,18.154954,-1245.508947,-198.602501,nan,nan
8.500000,4.354698,76.078560,18.156529,-1251.341513,-204.479171,nan,nan
8.600000,4.454698,76.079195,18.158105,-1257.370679,-210.552410,nan,nan
8.700000,4.554698,76.079830,18.159681,-1263.596446,-216.822216,nan,nan
8.800000,4.654698,76.080464,18.161256,-1268.187975,-221.457857,nan,nan
8.900000,4.754698,76.081099,18.162832,-1272.323488,-225.637523,nan,nan
9.000000,4.854698,76.081734,18.164407,-1276.819427,-230.177613,nan,nan
9.100000,4.954698,76.082368,18.165983,-1279.173419,-232.575774,nan,nan
9.200000,5.054698,76.083003,18.167559,-1279.777743,-233.224255,nan,nan
9.300000,5.154698,76.083637,18.169134,-1273.132665,-226.623341,nan,nan
9.400000,5.254698,76.084272,18.170710,-1264.825171,-218.360019,nan,nan
9.500000,5.354698,76.084907,18.172286,-1257.664484,-211.243504,nan,nan
9.600000,5.454698,76.085541,18.173861,-1251.650603,-205.273795,nan,nan
9.700000,5.554698,76.086280,18.175385,-1246.689800,-200.284204,nan,nan
9.800000,5.654698,76.087289,18.176773,-1239.315660,-192.691052,nan,nan
9.900000,5.754698,76.088299,18.178161,-1231.436150,-184.592526,nan,nan
10.000000,5.854698,76.089308,18.179549,-1224.382962,-177.320324,nan,nan
10.100000,5.954698,76.090317,18.180937,-1220.456021,-173.174360,nan,nan
