distance_from_rim_km,longitude_e_deg,latitude_n_deg,mola_raw_m,corrected_min_m,corrected_median_m,corrected_max_m,ctx_raw_m
8.354698,76.117729,18.206068,-1280.696948,-140.38581361521415,-81.4370364421925,-73.55442012681624,nan
8.454698,76.119446,18.205638,-1275.131564,-133.1821264029786,-74.23193347115466,-66.19103056961535,-1295.869764
8.554698,76.121163,18.205209,-1269.870702,-126.28329343468135,-67.33174191892635,-59.13254741548781,-1291.233628
8.654698,76.122881,18.20478,-1272.254672,-127.02842150637457,-68.07552490082708,-59.71794535148638,-1290.006697
8.754698,76.124598,18.204351,-1274.397077,-127.53285553807746,-68.57860034859846,-60.062729197358976,nan
8.854698,76.126315,18.203921,-1276.297917,-127.79539232584216,-68.83972137756086,-60.16556364015787,nan
8.954698,76.128032,18.203492,-1277.957192,-127.81669635754474,-68.85966682533217,-60.02721748603062,-1288.253857
9.054698,76.129749,18.203063,-1282.112094,-130.33362738924757,-71.37523927310394,-62.38449833190339,-1286.307801
9.154698,76.131466,18.202633,-1288.557062,-135.1402921770109,-76.18048830206476,-67.03146077470069,-1281.678609
9.254698,76.133184,18.202204,-1294.349821,-139.2942092487167,-80.3330602839776,-71.02564771071275,-1292.935166
9.354698,76.134901,18.201775,-1299.49037,-142.79678728042063,-83.83427973175048,-74.36857555658685,-1291.112544
9.454698,76.136618,18.201345,-1303.97871,-145.64682406818406,-86.68290076071139,-77.05890999938447,-1288.841614
9.554698,76.138255,18.201223,-1299.231655,-139.43347378907492,-80.4846650520592,-70.70831837824039,-1284.436648
9.654698,76.139561,18.202366,-1301.162597,-140.60669685246467,-81.74086233817115,-71.83674481130447,-1285.706827
9.754698,76.140867,18.203509,-1303.289199,-141.97557991585336,-83.19271962428184,-73.1608312443675,-1288.790914
9.854698,76.142173,18.204652,-1305.611463,-143.54012497924214,-84.8402389103926,-74.68057967743016,-1288.980977
9.954698,76.14348,18.205795,-1308.129387,-145.2994590826338,-86.68256073064481,-76.39503720063226,-1294.654967
10.054698,76.144786,18.206937,-1312.346575,-148.7585959020846,-90.22461459794636,-79.80932523062165,-1294.839275
10.154698,76.146092,18.20808,-1312.412301,-148.06660296547307,-89.6155958840568,-79.07253566368445,-1303.66714
10.254698,76.147398,18.209223,-1312.582442,-147.4790250288629,-89.11099217016886,-78.4401610967484,-1314.797766
10.354698,76.148704,18.210366,-1313.828661,-147.96752509225166,-89.68246645627983,-78.88386452981149,-1325.015109
10.454698,76.15001,18.211509,-1316.150959,-149.53210415564058,-91.33001974239028,-80.40364696287429,-1338.582983
10.554698,76.151316,18.212652,-1319.549336,-152.1727622190292,-94.05365202850112,-82.99950839593726,-1348.355178
10.654698,76.152622,18.213795,-1323.066166,-154.93187328241902,-96.89573731461337,-85.7138228290014,-1350.432301
10.754698,76.153929,18.214937,-1323.607039,-154.71382414185905,-96.7606187160427,-85.45084494911498,-1352.937577
